	Kingdom	Phylum	Class	Order	Family	Genus
ASV247	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
ASV248	Bacteria	Patescibacteria	Gracilibacteria	Gracilibacteria unclass. 	Gracilibacteria unclass. 	Gracilibacteria unclass. 
ASV252	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillales SAR116 clade	Puniceispirillales SAR116 clade
ASV256	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Nodosilineaceae	Nodosilineaceae unclass. 
ASV260	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Cyclobacteriaceae unlcass.
ASV261	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae unclass. 
ASV263	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Reichenbachiella
ASV267	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum
ASV271	Bacteria	Proteobacteria	Proteobacteria unclass.	Proteobacteria unclass.	Proteobacteria unclass.	Proteobacteria unclass.
ASV274	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonadaceae unclass. 
ASV288	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriia unclass.	Cyanobacteriia unclass.	Cyanobacteriia unclass.
ASV293	Bacteria	Proteobacteria	Proteobacteria unclass.	Proteobacteria unclass.	Proteobacteria unclass.	Proteobacteria unclass.
ASV297	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Delftia
ASV300	Bacteria	unclass. Bacteria	unclass. Bacteria	unclass. Bacteria	unclass. Bacteria	unclass. Bacteria
ASV306	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	Methylophagaceae Group3
ASV307	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Halieaceae OM60(NOR5) clade
ASV315	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadales unclass. 	Pseudomonadales unclass. 
ASV318	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella
ASV326	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Vicingus
ASV331	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Halieaceae OM60(NOR5) clade
