	Kingdom	Phylum	Class	Order	Family	Genus
ASV4114	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae
ASV4115	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	PS1 clade	PS1 clade
ASV4116	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Oleiphilaceae	Oleiphilus
ASV4117	Bacteria	Planctomycetota	Planctomycetota	Planctomycetota	Planctomycetota	Planctomycetota
ASV4118	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Spongiimonas
ASV4119	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Candidatus Photodesmus
ASV412	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter
ASV4120	Bacteria	Bacteroidota	Bacteroidia	Bacteroidia	Bacteroidia	Bacteroidia
ASV4121	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27 clade
ASV4122	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaetaceae
ASV4123	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	Gimesiaceae
ASV4124	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
ASV4125	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae
ASV4126	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales	Woesearchaeales
ASV4127	Bacteria	Planctomycetota	SGST604	SGST604	SGST604	SGST604
ASV4128	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Calditrichaceae
ASV4129	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter
ASV413	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Marinicella
ASV4130	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae	Flammeovirga
ASV4131	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190
ASV4132	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea
